SICCode,SICDescription,NAICS17,Industry
07519904,Slaughtering: custom livestock services,311611,Animal (except Poultry) Slaughtering
20110000,Meat packing plants,311611,Animal (except Poultry) Slaughtering
20110100,"Beef products, from beef slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110101,"Boxed beef, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110102,"Corned beef, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110103,"Veal, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110200,"Pork products, from pork slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110201,"Bacon, slab and sliced, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110202,"Hams and picnics, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110300,"Lamb products, from lamb slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110301,"Mutton, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110400,"Meat by-products, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110401,Blood meal,311611,Animal (except Poultry) Slaughtering
20110402,"Hides, cured or uncured: from carcasses slaughtered on site",311611,Animal (except Poultry) Slaughtering
20110403,"Lard, from carcasses slaughtered on site",311611,Animal (except Poultry) Slaughtering
20119900,"Meat packing plants, nec",311611,Animal (except Poultry) Slaughtering
20119901,"Canned meats (except baby food), meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20119902,"Cured meats, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20119903,"Dried meats, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20119904,"Frankfurters, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20119905,"Horse meat, for human consumption: slaughtered on site",311611,Animal (except Poultry) Slaughtering
20119906,"Luncheon meat, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20119907,"Sausages, from meat slaughtered on site",311611,Animal (except Poultry) Slaughtering
20119908,"Variety meats, fresh edible organs",311611,Animal (except Poultry) Slaughtering
20139909,"Lard, from purchased meat products",311613,Rendering and Meat Byproduct Processing 
20150000,Poultry slaughtering and processing,311615,Poultry Processing
20150100,Chicken slaughtering and processing,311615,Poultry Processing
20150101,"Chicken, processed, nsk",311615,Poultry Processing
20150102,"Chicken, processed: canned",311615,Poultry Processing
20150103,"Chicken, processed: cooked",311615,Poultry Processing
20150104,"Chicken, processed: fresh",311615,Poultry Processing
20150105,"Chicken, processed: frozen",311615,Poultry Processing
20150106,"Chicken, slaughtered and dressed",311615,Poultry Processing
20150200,Duck slaughtering and processing,311615,Poultry Processing
20150201,"Ducks, processed, nsk",311615,Poultry Processing
20150202,"Ducks, processed: canned",311615,Poultry Processing
20150203,"Ducks, processed: cooked",311615,Poultry Processing
20150204,"Ducks, processed: fresh",311615,Poultry Processing
20150205,"Ducks, processed: frozen",311615,Poultry Processing
20150206,"Ducks, slaughtered and dressed",311615,Poultry Processing
20150400,Small game slaughtering and processing,311615,Poultry Processing
20150401,"Game, small: processed, canned",311615,Poultry Processing
20150402,"Game, small: processed, cooked",311615,Poultry Processing
20150403,"Game, small: processed, fresh",311615,Poultry Processing
20150404,"Game, small: processed, frozen",311615,Poultry Processing
20150405,"Game, small: slaughtered and dressed",311615,Poultry Processing
20150500,Geese slaughtering and processing,311615,Poultry Processing
20150501,"Geese, processed, nsk",311615,Poultry Processing
20150502,"Geese, processed: canned",311615,Poultry Processing
20150503,"Geese, processed: cooked",311615,Poultry Processing
20150504,"Geese, processed: fresh",311615,Poultry Processing
20150505,"Geese, processed: frozen",311615,Poultry Processing
20150506,"Geese, slaughtered and dressed",311615,Poultry Processing
20150600,Poultry slaughtering and processing,311615,Poultry Processing
20150601,"Poultry, processed, nsk",311615,Poultry Processing
20150602,"Poultry, processed: canned",311615,Poultry Processing
20150603,"Poultry, processed: cooked",311615,Poultry Processing
20150604,"Poultry, processed: fresh",311615,Poultry Processing
20150605,"Poultry, processed: frozen",311615,Poultry Processing
20150606,"Poultry, processed: smoked",311615,Poultry Processing
20150607,"Poultry, processed: spiced",311615,Poultry Processing
20150608,"Poultry, slaughtered and dressed",311615,Poultry Processing
20150700,Rabbit slaughtering and processing,311615,Poultry Processing
20150701,"Rabbit, processed, nsk",311615,Poultry Processing
20150702,"Rabbit, processed: canned",311615,Poultry Processing
20150703,"Rabbit, processed: cooked",311615,Poultry Processing
20150704,"Rabbit, processed: fresh",311615,Poultry Processing
20150705,"Rabbit, processed: frozen",311615,Poultry Processing
20150706,"Rabbit, slaughtered and dressed",311615,Poultry Processing
20150800,Turkey processing and slaughtering,311615,Poultry Processing
20150801,"Turkey, processed, nsk",311615,Poultry Processing
20150802,"Turkey, processed: canned",311615,Poultry Processing
20150803,"Turkey, processed: cooked",311615,Poultry Processing
20150804,"Turkey, processed: fresh",311615,Poultry Processing
20150805,"Turkey, processed: frozen",311615,Poultry Processing
20150806,"Turkey, slaughtered and dressed",311615,Poultry Processing
20150900,"Poultry sausage, luncheon meats, and other poultry products",311615,Poultry Processing
20150901,"Bologna, poultry",311615,Poultry Processing
20150902,"Frankfurters, poultry",311615,Poultry Processing
20150903,"Ham, poultry",311615,Poultry Processing
20150904,"Luncheon meat, poultry",311615,Poultry Processing
20150905,"Pastrami, poultry",311615,Poultry Processing
20150906,"Sausage, poultry",311615,Poultry Processing
20150907,"Spreads, sandwich: poultry",311615,Poultry Processing
20150908,"Variety meats (fresh edible organs), poultry",311615,Poultry Processing
20480203,"Horse meat, canned: prepared as animal feed",311611,Animal (except Poultry) Slaughtering 
20480204,"Horse meat, fresh: prepared as animal feed",311611,Animal (except Poultry) Slaughtering 
20480205,"Horse meat, frozen: prepared as animal feed",311611,Animal (except Poultry) Slaughtering 
20489915,Slaughtering of nonfood animals,311611,Animal (except Poultry) Slaughtering
20770000,Animal and marine fats and oils,311613,Rendering and Meat Byproduct Processing
20770100,"Animal fats, oils, and meals",311613,Rendering and Meat Byproduct Processing
20770101,"Bone meal, except as animal feed",311613,Rendering and Meat Byproduct Processing
20770102,"Feather meal, except as animal feed",311613,Rendering and Meat Byproduct Processing
20770103,"Meat meal and tankage, except as animal feed",311613,Rendering and Meat Byproduct Processing
20770104,Neat's-foot oil,311613,Rendering and Meat Byproduct Processing
20770300,Rendering,311613,Rendering and Meat Byproduct Processing
20770301,"Grease rendering, inedible",311613,Rendering and Meat Byproduct Processing
20770302,"Stearin, animal: inedible",311613,Rendering and Meat Byproduct Processing
20770303,"Tallow rendering, inedible",311613,Rendering and Meat Byproduct Processing
51540000,Livestock,424520,Livestock Merchant Wholesalers
51549900,"Livestock, nec",424520,Livestock Merchant Wholesalers
51549901,Auctioning livestock,424520,Livestock Merchant Wholesalers
51549902,Cattle,424520,Livestock Merchant Wholesalers
51549903,Goats,424520,Livestock Merchant Wholesalers
51549904,Hogs,424520,Livestock Merchant Wholesalers
51549905,Sheep,424520,Livestock Merchant Wholesalers
